titulo,id,precio,precio oferta,enlace imagen,enlace producto 
Avanzado Bronze S,npes9,600 €,529,99,https://www.nitro-pc.es/3810-product_default/avanzado-s.jpg,https://www.nitro-pc.es/pc-gaming/9-avanzado-s.html 
Extremo Bronze S,npes10,1.500 €,1199,99,https://www.nitro-pc.es/6980-product_default/extremo-s.jpg,https://www.nitro-pc.es/pc-gaming/10-extremo-s.html 
Boost Bronze,npes1773,1.759,99 €,1739,99,https://www.nitro-pc.es/6863-product_default/boost.jpg,https://www.nitro-pc.es/pc-gaming/1773-boost.html 
lite Bronze,npes11,2.430 €,2129,99,https://www.nitro-pc.es/6882-product_default/elite.jpg,https://www.nitro-pc.es/pc-gaming/11-elite.html 
Pack Bronze S,npes59,802 €,669,99,https://www.nitro-pc.es/6977-product_default/pack-bronze-s.jpg,https://www.nitro-pc.es/packs/59-pack-bronze-s.html 
Pack Silver S,npes61,1.130 €,929,99,https://www.nitro-pc.es/7034-product_default/pack-silver-s.jpg,https://www.nitro-pc.es/packs/61-pack-silver-s.html 
Pack Gold S,npes62,1.300 €,1069,99,https://www.nitro-pc.es/7054-product_default/pack-gold-s.jpg,https://www.nitro-pc.es/packs/62-pack-gold-s.html 
Pack Platinum S,npes63,1.900 €,1419,99,https://www.nitro-pc.es/7058-product_default/pack-platinum-s.jpg,https://www.nitro-pc.es/packs/63-pack-platinum-s.html 
Pack Iridium S,npes66,2.120 €,1669,99,https://www.nitro-pc.es/7037-product_default/pack-iridium-s.jpg,https://www.nitro-pc.es/packs/66-pack-iridium-s.html 
Pack Rub¡ S,npes67,2.430 €,1979,99,https://www.nitro-pc.es/7006-product_default/pack-rubi-s.jpg,https://www.nitro-pc.es/packs/67-pack-rubi-s.html 
Pack Emerald S,npes2117,2.780 €,2429,99,https://www.nitro-pc.es/7080-product_default/pack-emerald-s.jpg,https://www.nitro-pc.es/packs/2117-pack-emerald-s.html 
Pack Diamond S,npes2118,3.110 €,2759,99,https://www.nitro-pc.es/7083-product_default/pack-diamond-s.jpg,https://www.nitro-pc.es/packs/2118-pack-diamond-s.html 
Pack Nitro S,npes2119,2.610 €,3209,99,https://www.nitro-pc.es/7090-product_default/pack-nitro-s.jpg,https://www.nitro-pc.es/packs/2119-pack-nitro-s.html 
Avanzado Bronze,npes2114,580 €,399,99,https://www.nitro-pc.es/6920-product_default/avanzado.jpg,https://www.nitro-pc.es/ordenadores/2114-avanzado.html 
Extremo Bronze,npes2115,1.350 €,919,99,https://www.nitro-pc.es/7263-product_default/extremo.jpg,https://www.nitro-pc.es/ordenadores/2115-extremo.html 
Pack Bronze,npes1949,760 €,559,99,https://www.nitro-pc.es/7300-product_default/pack-bronze.jpg,https://www.nitro-pc.es/packs-gaming/1949-pack-bronze.html 
Pack Silver,npes1875,1.070 €,799,99,https://www.nitro-pc.es/7297-product_default/pack-silver.jpg,https://www.nitro-pc.es/packs-gaming/1875-pack-silver.html 
Pack Gold,npes1876,1.150 €,899,99,https://www.nitro-pc.es/7291-product_default/pack-gold.jpg,https://www.nitro-pc.es/packs-gaming/1876-pack-gold.html 
Pack Platinum,npes1877,1.550 €,1199,99,https://www.nitro-pc.es/7339-product_default/pack-platinum.jpg,https://www.nitro-pc.es/packs-gaming/1877-pack-platinum.html 
Pack Diamond,npes1878,1.800 €,1459,99,https://www.nitro-pc.es/7362-product_default/pack-diamond.jpg,https://www.nitro-pc.es/packs-gaming/1878-pack-diamond.html 
Pack Nitro,npes1879,2.310 €,1899,99,https://www.nitro-pc.es/7380-product_default/pack-nitro.jpg,https://www.nitro-pc.es/packs-gaming/1879-pack-nitro.html 
Pack Office Silver,npes1007,770 €,699,99,https://www.nitro-pc.es/7388-product_default/pack-office-silver.jpg,https://www.nitro-pc.es/packs-work/1007-pack-office-silver.html 
Pack Office Gold,npes1008,900 €,779,99,https://www.nitro-pc.es/7391-product_default/pack-office-gold.jpg,https://www.nitro-pc.es/packs-work/1008-pack-office-gold.html 
Pack Office Nitro,npes1009,1.370 €,1199,99,https://www.nitro-pc.es/7394-product_default/pack-office-nitro.jpg,https://www.nitro-pc.es/packs-work/1009-pack-office-nitro.html 
Pack Pro Bronze,npes1010,1.700 €,1549,99,https://www.nitro-pc.es/7398-product_default/pack-pro-bronze.jpg,https://www.nitro-pc.es/packs-work/1010-pack-pro-bronze.html 
Pack Pro Silver,npes1011,2.800 €,2349,99,https://www.nitro-pc.es/7402-product_default/pack-pro-silver.jpg,https://www.nitro-pc.es/packs-work/1011-pack-pro-silver.html 
Pack Quadro Silver,npes1012,3.500 €,2949,99,https://www.nitro-pc.es/7405-product_default/pack-quadro-silver.jpg,https://www.nitro-pc.es/packs-work/1012-pack-quadro-silver.html 
